# ResoPal starter deck - Trial Deck TD01 "Dawn of Palpagos Red / Blue"
# INCOMPLETE. This list was a placeholder even 2x split; TD01-025 was in it and does
# not exist on Palify, so it has been removed. The remaining 24 cards are 2x each = 48,
# and the real deck is almost certainly 50 with two cards at 3x - as the TD02 export is.
# Replace this file with a real Palify export of the deck to fix it.
quantity,code,name
2,TD01-001,
2,TD01-002,
2,TD01-003,
2,TD01-004,
2,TD01-005,
2,TD01-006,
2,TD01-007,
2,TD01-008,
2,TD01-009,
2,TD01-010,
2,TD01-011,
2,TD01-012,
2,TD01-013,
2,TD01-014,
2,TD01-015,
2,TD01-016,
2,TD01-017,
2,TD01-018,
2,TD01-019,
2,TD01-020,
2,TD01-021,
2,TD01-022,
2,TD01-023,
2,TD01-024,
