# ResoPal starter deck - Trial Deck TD02 "Dawn of Palpagos Green / Purple"
#
# Codes and names confirmed against Palify's catalogue; the set is TD02-001 to
# TD02-024. Quantities are from a real Palify export of this deck: 24 unique,
# 50 cards, with TD02-005 and TD02-013 at 3x. Both are Pals, which matches the
# 34 Pals / 6 Structures / 4 Gear / 6 Events breakdown.
#
# Palify-compatible import format: quantity,code,name
quantity,code,name
2,TD02-001,Mossanda – Guard Captain
2,TD02-002,Gumoss – Dreamy Seedling
2,TD02-003,Flopie – Snack Lover
2,TD02-004,Dinossom – Radiant Fragrance
3,TD02-005,Eikthyrdeer Terra – Guardian of Nature
2,TD02-006,Broncherry – Brimming Adoration
2,TD02-007,Mammorest – Roar of the Wilds
2,TD02-008,Berry Plantation
2,TD02-009,Campfire
2,TD02-010,Refined Metal Spear
2,TD02-011,Stone Blast
2,TD02-012,Astegon – Aegis Wyvern of Death
3,TD02-013,Hoocrates – Embodiment of Wisdom
2,TD02-014,Leezpunk – Treasure Bandit
2,TD02-015,Cawgnito – Looming Shadow
2,TD02-016,Incineram – Lurking Stalker
2,TD02-017,Blazehowl Noct – Darkflame Defender
2,TD02-018,Felbat – Lifestealer
2,TD02-019,Hanging Trap
2,TD02-020,Cawgnito Hat
2,TD02-021,Strike from the Darkness
2,TD02-022,Medical Supplies
2,TD02-023,Cattiva – My First Pal
2,TD02-024,Chikipi – My First Pal
